Orig,Route String,Dest,Hours1,Hours2,Hours3,Type,Area,Altitude,Aircraft,Direction,Seq,DCNTR,ACNTR
ACK,ACK ACK V146 PVD HFD T303 MAD EEGOR ALIXX RYMES DXR,DXR,,,,TEC,,10000,PROPS LESS THAN 250 KTS IAS,,2,ZBW,ZNY
ACK,ACK ACK V146 BAF IGN V157 HAARP DXR,DXR,,,,TEC,,10000,JETS AND PROPS GREATER THAN 250 KTS IAS,,3,ZBW,ZNY
ACK,ACK MVY SEY T634 CREAM EEGOR ALIXX RYMES DXR,DXR,,,,TEC,,10000,,,4,ZBW,ZNY
ACK,ACK ACK V146 PVD T393 KEYNN EEN,EEN,,,,TEC,,10000,,,1,ZBW,ZBW
ACK,ACK ACK V146 CTR T458 STUBN ELM,ELM,,,,TEC,,10000,,,1,ZBW,ZNY
ACK,ACK ACK V146 CTR T458 STUBN JHW ERI,ERI,,,,L,,080-100,RNAV/GNSS EQUIPPED ONLY,,2,ZBW,ZOB
ACK,ACK ACK V146 CTR T458 STUBN JHW ERI,ERI,,,,TEC,,,,,1,ZBW,ZOB
ACK,ACK MVY V146 PUT NELIE FLOSI4 EWR,EWR,,,,L,,110-160,250KTS OR GREATER,,3,ZBW,ZNY
ACK,ACK ACK V146 PVD V167 HFD T315 SEALL V188 CMK V623 SAX EWR,EWR,,,,TEC,TO NEWARK & SATS,10000,SINGLE ENGINE ONLY,,1,ZBW,ZNY
ACK,ACK ACK V146 PVD V167 HFD V3 CMK V623 SAX EWR,EWR,,,,TEC,TO NEWARK & SATS,,PROPS LESS THAN 250 KTS IAS,,2,ZBW,ZNY
ACK,ACK ACK T216 SEY ORCHA FOK,FOK,,,,TEC,,10000,JETS AND PROPS GREATER THAN 250 KTS IAS,,1,ZBW,ZNY
ACK,ACK ACK V146 MVY V374 GON CCC FOK,FOK,,,,TEC,,10000,SINGLE ENGINE ONLY,,2,ZBW,ZNY
ACK,ACK MVY SEY PARCH4 FRG,FRG,,,,H,,AOB FL220,TURBOJETS ONLY,,3,ZBW,ZNY
ACK,ACK ACK T216 SEY ORCHA CCC V46 DPK FRG,FRG,,,,TEC,,10000,JETS AND PROPS GREATER THAN 250 KTS IAS,,1,ZBW,ZNY
ACK,ACK ACK V146 MVY V374 GON CCC V46 DPK FRG,FRG,,,,TEC,,10000,,,2,ZBW,ZNY
ACK,ACK ACK GON,GON,,,,TEC,,10000,,,1,ZBW,ZBW
ACK,ACK ACK T216 HFD HFD,HFD,,,,TEC,,10000,,,2,ZBW,ZBW
ACK,ACK MVY V146 PUT NELIE VALRE VALRE5 HPN,HPN,,,,H,,AOB FL220,250KTS OR GREATER,,3,ZBW,ZNY
ACK,ACK ACK V146 PVD V167 HFD T303 MAD EEGOR ALIXX RYMES HPN,HPN,,,,TEC,,10000,,,1,ZBW,ZNY
ACK,ACK MVY SEY T634 CREAM EEGOR ALIXX RYMES HPN,HPN,,,,TEC,WATER,10000,,,2,ZBW,ZNY
ACK,ACK LFV CELTS BAF HYPER9 IAD,IAD,,,,H,,,TURBOJETS ONLY,,1,ZBW,ZDC
ACK,ACK ACK T216 SEY ORCHA CCC ISP,ISP,,,,TEC,,10000,JETS AND PROPS GREATER THAN 250 KTS IAS,,1,ZBW,ZNY
ACK,ACK ACK V146 MVY V374 GON CCC ISP,ISP,,,,TEC,,10000,SINGLE ENGINE ONLY,,2,ZBW,ZNY
ACK,ACK MVY JAWZZ Q220 SEY PARCH4 JFK,JFK,,,,H,TO FRG.JFK,AOB FL220,TURBOJETS ONLY,,3,ZBW,ZNY
ACK,ACK ACK T216 SEY ORCHA CCC V46 DPK JFK,JFK,,,,TEC,,10000,JETS AND PROPS GREATER THAN 250 KTS IAS,,1,ZBW,ZNY
ACK,ACK ACK V146 MVY V374 GON CCC V46 DPK JFK,JFK,,,,TEC,,10000,,,2,ZBW,ZNY
ACK,ACK ACK V146 PVD T393 LBNON LEB,LEB,,,,TEC,,10000,,,1,ZBW,ZBW
ACK,ACK MVY V146 PUT NELIE VALRE HAARP4 LGA,LGA,,,,L,,110-160,250KTS OR GREATER,,2,ZBW,ZNY
ACK,ACK ACK V146 PVD V167 HFD T303 MAD EEGOR PRENO LGA,LGA,,,,TEC,,10000,,,1,ZBW,ZNY
ACK,ACK FREDO BOS MANCH MHT,MHT,,,,TEC,,10000,,,1,ZBW,ZBW
ACK,ACK MVY V146 BAF MOBBS T295 SAGES V489 COATE MMU,MMU,,,,H,,AOB FL220,,,1,ZBW,ZNY
ACK,ACK LFV CELTS MANCH CAM Q822 FNT WYNDE2 ORD,ORD,,,,H,,,,,1,ZBW,ZAU
ACK,ACK ACK V146 PUT ORH,ORH,,,,TEC,,10000,,,2,ZBW,ZBW
ACK,ACK ACK FREDO OWD,OWD,,,,TEC,,10000,,,1,ZBW,ZBW
ACK,ACK MVY JAWZZ Q220 RIFLE HEADI Q97 KENLL CPTAN3 PBI,PBI,,,,H,TO 06FA.BCT.FXE.PBI.PMP,,,,1,ZBW,ZMA
ACK,ACK MVY JAWZZ Q220 RIFLE HEADI Q97 KALDA Q131 WAALT Y289 DULEE CLMNT2 PBI,PBI,,,,H,TO 06FA.BCT.F45.PBI,,JETS ONLY,WATER,2,ZBW,ZMA
ACK,ACK MVY JAWZZ Q220 RIFLE Q439 BRIGS JIIMS4 PHL,PHL,,,,H,,,,,3,ZBW,ZNY
ACK,ACK MVY JAWZZ Q220 RIFLE Q439 BRIGS JIIMS4 PHL,PHL,,,,H,,,TURBOJETS ONLY,,4,ZBW,ZNY
ACK,ACK ACK T216 SEY ORCHA T320 BRIGS ACY V184 OOD PHL,PHL,,,,TEC,,10000,,,1,ZBW,ZNY
ACK,ACK ACK V146 MVY V374 GON CCC T224 JIIMS OOD PHL,PHL,,,,TEC,,10000,SINGLE ENGINE ONLY,,2,ZBW,ZNY
ACK,ACK ACK T216 SEY ORCHA T320 MANTA T438 ARD PNE,PNE,,,,TEC,,10000,,,1,ZBW,ZNY
ACK,ACK ACK V146 MVY V374 GON CCC T224 DIXIE T438 ARD PNE,PNE,,,,TEC,,10000,SINGLE ENGINE ONLY,,2,ZBW,ZNY
ACK,ACK FREDO BOS PEASE PSM,PSM,,,,TEC,,10000,,,1,ZBW,ZBW
ACK,ACK ACK V146 PVD PVD,PVD,,,,TEC,,10000,,,1,ZBW,ZBW
ACK,ACK FREDO BOS PEASE ENE PWM,PWM,,,,TEC,,10000,,,1,ZBW,ZBW
ACK,ACK ACK T216 SEY ORCHA T320 CHOPS T224 COLIN RIC,RIC,,,,TEC,,10000,,,1,ZBW,ZDC
ACK,ACK ACK V146 MVY V374 GON CCC T224 COLIN RIC,RIC,,,,TEC,,10000,SINGLE ENGINE ONLY,,2,ZBW,ZDC
ACK,ACK ACK V146 PVD T255 NELIE T212 TRESA SWF,SWF,,,,TEC,,10000,GNSS EQUIPPED ONLY,,1,ZBW,ZNY
ACK,ACK ACK V146 ALB SYR,SYR,,,,TEC,,10000,,,1,ZBW,ZBW
ACK,ACK MVY V146 BAF MOBBS T295 SAGES V489 COATE TEB,TEB,,,,H,,AOB FL220,,,1,ZBW,ZNY
ACK,ACK ACK T216 SEY ORCHA T320 MANTA T438 ARD TTN,TTN,,,,TEC,,10000,,,1,ZBW,ZNY
ACK,ACK ACK V146 MVY V374 GON CCC T224 DIXIE T438 ARD TTN,TTN,,,,TEC,,10000,SINGLE ENGINE ONLY,,2,ZBW,ZNY
ACK,ACK ACK T216 SEY ORCHA T320 DRIFT T416 CYN WRI,WRI,,,,TEC,,10000,,,1,ZBW,ZNY
ACK,ACK ACK V146 MVY V374 GON CCC T224 CYN WRI,WRI,,,,TEC,,10000,SINGLE ENGINE ONLY,,2,ZBW,ZNY
ACY,ACY ACY T315 DIXIE T438 ARD ABE,ABE,,,,TEC,,5000,,,1,ZDC,ZNY
ACY,ACY CRESI T303 DIXIE T438 ARD ABE,ABE,,,,TEC,,5000,,,2,ZDC,ZNY
ACY,ACY CRESI T303 JFK T315 EEGOR MAD CARLD V188 GON T216 NEWBE T300 DEEPO ACK,ACK,,,,TEC,,5000,SINGLE ENGINE ONLY,,1,ZDC,ZBW
ACY,ACY LEEAH T315 CHOPS T320 VAALI CAPKO ADW,ADW,,,,TEC,,040 OR 060,,,1,ZDC,ZDC
ACY,ACY LEEAH ENO SWANN YANNI CSN J48 MOL FLASK OZZZI1 ATL,ATL,,,,H,,,,,1,ZDC,ZTL
ACY,ACY CRESI T303 JFK T315 EEGOR BDL,BDL,,,,TEC,,5000,SINGLE ENGINE ONLY,,1,ZDC,ZBW
ACY,ACY HOWIE T303 JFK T315 EEGOR BDR,BDR,,,,TEC,,5000,SINGLE ENGINE ONLY,,1,ZDC,ZNY
ACY,ACY ACY V184 ZIGGI JFK T315 EEGOR BDR,BDR,N/A 1400-2100,,,TEC,,5000,TWINS ONLY,,2,ZDC,ZNY
ACY,ACY CRESI T303 JFK T315 HFD CLOWW BGR,BGR,,,,TEC,,5000,SINGLE ENGINE AND /E. /F. /G ONLY,,1,ZDC,ZBW
ACY,ACY CRESI T303 JFK T315 HFD CLOWW BHB,BHB,,,,TEC,,5000,SINGLE ENGINE AND /E. /F. /G ONLY,,1,ZDC,ZBW
ACY,ACY CRESI T303 JFK T315 HFD DREEM BOS,BOS,,,,TEC,TO BOSTON(NORTH),5000,SINGLE ENGINE ONLY,,1,ZDC,ZBW
ACY,ACY CRESI T303 JFK T315 HFD V3 WOONS BOS,BOS,,,,TEC,,5000,SINGLE ENGINE ONLY,,2,ZDC,ZBW
ACY,ACY CRESI T303 JFK T315 HFD FOSTY WOONS BOS,BOS,,,,TEC,,5000,SINGLE ENGINE AND /E. /F. /G ONLY,,3,ZDC,ZBW
ACY,ACY LEEAH T358 SWANN BWI,BWI,,,,TEC,,040 OR 060,,,1,ZDC,ZDC
ACY,ACY BRIEF T307 REESY T452 HAR CXY,CXY,,,,TEC,,4000,,,1,ZDC,ZNY
ACY,ACY LEEAH T315 CHOPS T320 VAALI CAPKO DCA,DCA,,,,TEC,,040 OR 060,PROPS ONLY,,1,ZDC,ZDC
ACY,ACY LEEAH T358 ENO T447 ETX T335 WLKES T440 STUBN ELM,ELM,,,,TEC,,4000,,,1,ZDC,ZNY
ACY,ACY CRESI T303 JFK T315 EEGOR MAD CARLD V188 GON V374 MINNK EWB,EWB,,,,TEC,,5000,SINGLE ENGINE ONLY,,1,ZDC,ZBW
ACY,ACY ACY T315 DIXIE T438 RBV V249 METRO EWR,EWR,,,,TEC,,5000,,,3,ZDC,ZNY
ACY,ACY LEEAH ATR TRPOD Q409 CRPLR PAACK Q97 PRMUS CUUDA3 FLL,FLL,,,,H,TO FLL.OPF,,JETS ONLY. EXCLUDES EA50. E50P. SF50. C510. C525,,1,ZDC,ZMA
ACY,ACY LEEAH ATR TRPOD Q409 CRPLR KOOKI Q133 CHIEZ Y291 MAJIK CUUDA3 FLL,FLL,,,,H,TO FLL.OPF,,JETS ONLY. EXCLUDES EA50. ES0P. SF50. CS10. CS25,WATER,2,ZDC,ZMA
ACY,ACY LEEAH ATR TRPOD Q409 CRPLR PAACK Q97 KENLL TARPN3 FLL,FLL,,,,H,TO 07FA.FLL.HST.HWO.MIA.OPF.TMB.X51,,VLJ/TURBPROP ONLY: INCL EA50.E50P.SF50.C510.C525,,3,ZDC,ZMA
ACY,ACY CRESI T303 JFK BDR MAD MONDI GON,GON,,,,TEC,,5000,SINGLE ENGINE ONLY,,1,ZDC,ZBW
ACY,ACY CRESI T303 JFK T315 HFD HFD,HFD,,,,TEC,,5000,SINGLE ENGINE ONLY,,1,ZDC,ZBW
ACY,ACY CRESI T303 DIXIE T438 RBV V249 SAX V39 BREZY HPN,HPN,,,,TEC,,5000,MULTIENGINE PROPS ONLY,,1,ZDC,ZNY
ACY,ACY ACY T315 DIXIE T438 RBV V249 SAX V39 BREZY HPN,HPN,,,,TEC,,5000,MULTIENGINE PROPS ONLY,,2,ZDC,ZNY
ACY,ACY CRESI T303 JFK T315 HFD V167 PVD T393 GAILS HYA,HYA,,,,TEC,,5000,SINGLE ENGINE ONLY,,1,ZDC,ZBW
ACY,ACY LEEAH T358 OBWON T356 DROSA WOOLY MRB IAD,IAD,,,,TEC,,4000,NON-JETS ONLY,,1,ZDC,ZDC
ACY,ACY LEEAH T315 TAPPA V286 CSN IAD,IAD,,,,TEC,,4000,JETS ONLY,,2,ZDC,ZDC
ACY,ACY CRESI T303 JFK CCC ISP,ISP,,,,TEC,,5000,SINGLE ENGINE ONLY,,1,ZDC,ZNY
ACY,ACY V184 ZIGGI JFK210 JFK CCC ISP,ISP,,,,TEC,N/A BTN 1400-2100 LCL,5000,NO SINGLE ENGINE,,2,ZDC,ZNY
ACY,ACY CRESI T303 JFK JFK,JFK,,,,TEC,,5000,SINGLE ENGINE ONLY,,1,ZDC,ZNY
ACY,ACY V184 ZIGGI JFK210 JFK JFK,JFK,,,,TEC,NO OTFC,5000,JETS AND MULTIENGINE PROPS ONLY,,2,ZDC,ZNY
ACY,ACY CRESI T303 DIXIE T438 RBV V123 PROUD LGA,LGA,,,,TEC,,5000,,,1,ZDC,ZNY
ACY,ACY ACY T315 DIXIE T438 RBV V123 PROUD LGA,LGA,,,,TEC,,5000,NO SINGLE ENGINE,,2,ZDC,ZNY
ACY,ACY ACY T315 DIXIE T438 RBV V123 PROUD LGA,LGA,,,,TEC,,7000,JETS ONLY,,3,ZDC,ZNY
